"Mod name","Registry name","Display name","Recipe name","Tags"
"A Man With Plushies","a_man_with_plushies:allay_plush","§9§lAllay Plushie","a_man_with_plushies:allay_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:audino_plush","§e§lAudino Plushie","a_man_with_plushies:audino_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:baldi_plush","§a§lBaldi Plushie","a_man_with_plushies:baldi_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:blissey_plush","§a§lBlissey Plushie","a_man_with_plushies:blissey_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:candy_plush","§e§lCandy Plushie","a_man_with_plushies:candy_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:cc_green_knight_plush","§a§lCastle Crashers Knight Plushie","a_man_with_plushies:cc_knight_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:chicken_plush","§a§lChicken Plushie","a_man_with_plushies:chicken_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:companion_block_plushie","§e§lCompanion Block Plushie","a_man_with_plushies:companion_block_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:cow_plush","§a§lCow Plushie","a_man_with_plushies:cow_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:crabster_plush","§e§lCrabster Plushie","a_man_with_plushies:crabster_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:creeper_plush","§9§lCreeper Plushie","a_man_with_plushies:creeper_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:crewmate_plush","§9§lCrewmate Plushie","a_man_with_plushies:crewmate_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:cuphead_plush","§a§lCuphead Plushie","a_man_with_plushies:cuphead_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:enderman_plush","§9§lEnderman Plushie","a_man_with_plushies:enderman_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:fall_guy_plush","§a§lFall Guy Plushie","a_man_with_plushies:fall_guy_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:female_indeedee_plush","§a§lIndeedee Plushie","a_man_with_plushies:indeedee_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:freddy_fazbear_plush","§e§lFreddy Fazbear Plushie","a_man_with_plushies:freddy_fazbear_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:gd_cube_plush","§9§lGeometry Dash Cube Plushie","a_man_with_plushies:gd_cube_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:ghast_plush","§e§lGhast Plushie","a_man_with_plushies:ghast_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:glados_plush","§e§lGLaDOS Plushie","a_man_with_plushies:glados_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:golden_plush_box","Golden Plush Box","a_man_with_plushies:golden_plush_box_recipe","?"
"A Man With Plushies","a_man_with_plushies:goose_plush","§a§lGoose Plushie","a_man_with_plushies:the_goose_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:happycane_plush","§a§lHappycane Plushie","a_man_with_plushies:happycane_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:headcrab_plush","§e§lHeadcrab Plushie","a_man_with_plushies:headcrab_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:heavy_plush","§e§lHeavy Weapons Guy Plushie","a_man_with_plushies:heavy_weapons_guy_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:henry_stickmin_plush","§9§lHenry Stickmin Plushie","a_man_with_plushies:henry_stickmin_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:insomni_plush","§a§lInsomni Plushie","a_man_with_plushies:insomni_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:isaac_plush","§9§lIsaac Plushie","a_man_with_plushies:isaac_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:lariat_plushie","§a§lLariat Plushie","a_man_with_plushies:lariat_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:madeline_plush","§a§lMadeline Plushie","a_man_with_plushies:madeline_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:meat_boy_plush","§9§lMeat Boy Plushie","a_man_with_plushies:meat_boy_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:ninji_plush","§9§lNinji Plushie","a_man_with_plushies:ninji_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:off_plush","§9§lNoob Plushie","a_man_with_plushies:the_noob_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:peashooter_plush","§a§lPeashooter Plushie","a_man_with_plushies:peashooter_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:peppino_plush","§a§lPeppino Plushie","a_man_with_plushies:peppino_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:pig_plush","§a§lPig Plushie","a_man_with_plushies:pig_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:plush_box","Plush Box","a_man_with_plushies:plush_box_recipe","?"
"A Man With Plushies","a_man_with_plushies:plush_box","Plush Box","a_man_with_plushies:plush_box_recipe_2","?"
"A Man With Plushies","a_man_with_plushies:popgoes_plush","§e§lPopgoes Plushie","a_man_with_plushies:popgoes_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:pufferfish_plush","§9§lPufferfish Plushie","a_man_with_plushies:pufferfish_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:red_pikmin_plush","§9§lPikmin Plushie","a_man_with_plushies:pikmin_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:rhyth_plush","§a§lRhyth Plushie","a_man_with_plushies:rhyth_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:sans_plush","§a§lSans Plushie","a_man_with_plushies:sans_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:sensei_seaweed_plush","§a§lSensei Seaweed Plushie","a_man_with_plushies:sensei_seaweed_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:shulker_plush","§9§lShulker Plushie","a_man_with_plushies:shulker_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:spamton_plush","§e§lSpamton Plushie","a_man_with_plushies:spamton_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:squid_plush","§9§lSquid Plushie","a_man_with_plushies:squid_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:steppa_plush","§a§lSteppa Plushie","a_man_with_plushies:steppa_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:sudowoodo_plush","§e§lSudowoodo Plushie","a_man_with_plushies:sudowoodo_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:the_knight_plush","§a§lThe Knight Plushie","a_man_with_plushies:the_knight_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:v_1_plush","§e§lV1 Plushie","a_man_with_plushies:v_1_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:white_sheep_plush","§a§lSheep Plushie","a_man_with_plushies:sheep_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:wiglin_plush","§a§lWiglin Plushie","a_man_with_plushies:wiglin_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:wilson_plush","§a§lWilson Plushie","a_man_with_plushies:wilson_plush_duplication_recipe","?"
"A Man With Plushies","a_man_with_plushies:wobblewok_plush","§e§lWobblewok Plushie","a_man_with_plushies:wobblewok_plush_duplication_recipe","?"
"A Man With Plushies","minecraft:gold_nugget","Gold Nugget","a_man_with_plushies:golden_plush_box_blasting","?"
"A Man With Plushies","minecraft:gold_nugget","Gold Nugget","a_man_with_plushies:golden_plush_box_smelt","?"
"AE2 QoL Recipes","ae2:black_covered_cable","Black ME Covered Cable","ae2qolrecipes:covered_cable/black_covered_cable","?"
"AE2 QoL Recipes","ae2:black_covered_cable","Black ME Covered Cable","ae2qolrecipes:covered_cable/black_covered_cable2","?"
"AE2 QoL Recipes","ae2:black_covered_cable","Black ME Covered Cable","ae2qolrecipes:covered_cable/black_covered_cable3","?"
"AE2 QoL Recipes","ae2:black_covered_dense_cable","Black ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/black_covered_dense_cable","?"
"AE2 QoL Recipes","ae2:black_covered_dense_cable","Black ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/black_covered_dense_cable2","?"
"AE2 QoL Recipes","ae2:black_covered_dense_cable","Black ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/black_covered_dense_cable3","?"
"AE2 QoL Recipes","ae2:black_glass_cable","Black ME Glass Cable","ae2qolrecipes:glass_cable/black_glass_cable","?"
"AE2 QoL Recipes","ae2:black_glass_cable","Black ME Glass Cable","ae2qolrecipes:glass_cable/black_glass_cable2","?"
"AE2 QoL Recipes","ae2:black_smart_cable","Black ME Smart Cable","ae2qolrecipes:smart_cable/black_smart_cable","?"
"AE2 QoL Recipes","ae2:black_smart_cable","Black ME Smart Cable","ae2qolrecipes:smart_cable/black_smart_cable2","?"
"AE2 QoL Recipes","ae2:black_smart_cable","Black ME Smart Cable","ae2qolrecipes:smart_cable/black_smart_cable3","?"
"AE2 QoL Recipes","ae2:black_smart_cable","Black ME Smart Cable","ae2qolrecipes:smart_cable/black_smart_cable4","?"
"AE2 QoL Recipes","ae2:black_smart_dense_cable","Black ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/black_smart_dense_cable","?"
"AE2 QoL Recipes","ae2:black_smart_dense_cable","Black ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/black_smart_dense_cable2","?"
"AE2 QoL Recipes","ae2:black_smart_dense_cable","Black ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/black_smart_dense_cable3","?"
"AE2 QoL Recipes","ae2:black_smart_dense_cable","Black ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/black_smart_dense_cable4","?"
"AE2 QoL Recipes","ae2:blue_covered_cable","Blue ME Covered Cable","ae2qolrecipes:covered_cable/blue_covered_cable.json","?"
"AE2 QoL Recipes","ae2:blue_covered_cable","Blue ME Covered Cable","ae2qolrecipes:covered_cable/blue_covered_cable2","?"
"AE2 QoL Recipes","ae2:blue_covered_cable","Blue ME Covered Cable","ae2qolrecipes:covered_cable/blue_covered_cable3","?"
"AE2 QoL Recipes","ae2:blue_covered_dense_cable","Blue ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/blue_covered_dense_cable","?"
"AE2 QoL Recipes","ae2:blue_covered_dense_cable","Blue ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/blue_covered_dense_cable2","?"
"AE2 QoL Recipes","ae2:blue_covered_dense_cable","Blue ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/blue_covered_dense_cable3","?"
"AE2 QoL Recipes","ae2:blue_glass_cable","Blue ME Glass Cable","ae2qolrecipes:glass_cable/blue_glass_cable","?"
"AE2 QoL Recipes","ae2:blue_glass_cable","Blue ME Glass Cable","ae2qolrecipes:glass_cable/blue_glass_cable2","?"
"AE2 QoL Recipes","ae2:blue_smart_cable","Blue ME Smart Cable","ae2qolrecipes:smart_cable/blue_smart_cable","?"
