"Mod name","Registry name","Item ID","Display name"
"A Man With Plushies","a_man_with_plushies:allay_plush",39951,"§9§lAllay Plushie"
"A Man With Plushies","a_man_with_plushies:angry_baldi_plush",40044,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:angry_baldi_plush_sitting",40153,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:audino_plush",39996,"§e§lAudino Plushie"
"A Man With Plushies","a_man_with_plushies:audino_plush_standing",40155,"§e§lAudino Plushie"
"A Man With Plushies","a_man_with_plushies:badeline_plush",40166,"§a§lBadeline Plushie"
"A Man With Plushies","a_man_with_plushies:badeline_plush_sitting",40168,"§a§lBadeline Plushie"
"A Man With Plushies","a_man_with_plushies:baldi_plush",39977,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:baldi_plush_sitting",40152,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:bandaga_girl_plush_sitting",40106,"§9§lBandage Girl Plushie"
"A Man With Plushies","a_man_with_plushies:bandage_girl_plush",40021,"§9§lBandage Girl Plushie"
"A Man With Plushies","a_man_with_plushies:black_crewmate_plush",40013,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:black_crewmate_plush_sitting",40088,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:black_sheep_plush",40038,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:black_sheep_plush_sitting",40145,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_almost_full_egg_holder_plush",40080,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_almost_full_egg_holder_plush_standing",40158,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_egg_holder_plush",40079,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_egg_holder_plush_standing",40157,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_full_egg_holder_plush",40081,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_full_egg_holder_plush_standing",40159,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_plush",39978,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_plush_standing",40156,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blu_heavy_plush",40019,"§e§lHeavy Weapons Guy Plushie"
"A Man With Plushies","a_man_with_plushies:blu_heavy_plush_sitting",40095,"§e§lHeavy Weapons Guy Plushie"
"A Man With Plushies","a_man_with_plushies:blue_crewmate_plush",40008,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:blue_crewmate_plush_sitting",40083,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:blue_pikmin_plush",40051,"§9§lPikmin Plushie"
"A Man With Plushies","a_man_with_plushies:blue_pikmin_plush_standing",40165,"§9§lPikmin Plushie"
"A Man With Plushies","a_man_with_plushies:blue_pikmin_sprout",40056,"§9§lPikmin Plushie"
"A Man With Plushies","a_man_with_plushies:blue_pikmin_sprout_plant",40055,"Blue Pikmin Sprout"
"A Man With Plushies","a_man_with_plushies:blue_sheep_plush",40034,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:blue_sheep_plush_sitting",40141,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:brown_crewmate_plush",40016,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:brown_crewmate_plush_sitting",40091,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:brown_mooshroom_plush",40041,"§a§lMooshroom Plushie"
"A Man With Plushies","a_man_with_plushies:brown_mooshroom_plush_sitting",40149,"§a§lMooshroom Plushie"
"A Man With Plushies","a_man_with_plushies:brown_sheep_plush",40035,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:brown_sheep_plush_sitting",40142,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:candy_plush",39990,"§e§lCandy Plushie"
"A Man With Plushies","a_man_with_plushies:candy_plush_standing",40109,"§e§lCandy Plushie"
"A Man With Plushies","a_man_with_plushies:carrot_eating_pufferfish_plush",40077,"§9§lPufferfish Plushie"
"A Man With Plushies","a_man_with_plushies:cc_blue_knight_plush",40005,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_blue_knight_plush_sitting",40114,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_gray_knight_plush",40007,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_gray_knight_plush_sitting",40116,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_green_knight_plush",39974,"§a§lCastle Crashers Knight Plushie"
